CENTER,83
PETER,22
SOLIS,1
WLH,33
YORK,36
PCYNH,12
GH,15
CSE,2
LEDDN AUD,1
MDVL,7
ARGO,6
TIOGA,2
BLACK,2
MUIR,5
WARREN,37
REVELLE,32
SIXTH,4
UPPERS,1
LOWERS,2
VILLAGE,3
SIXTY FOUR,3
PC,57
GEISEL,66
BIOMED,2
